year,symbol,date,entry,stop,t1,outcome,ret_a,tier,n_soft,readiness,behav_score,score,fwd_max_gain,max_draw_pct,exploded,mg_outcome,mg_pre_stop,mg_peak_day,entry_model,fill_reason_sweep,outcome_sweep,entry_sweep,ret_sweep_a,price_bucket,killed_explosion
2026,ARRY,2026-03-19,6.7,6.05,8.0,win,19.3,B,3,60,28,65,38.0,-2.0,False,survived,38.0,33.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2026,AURE,2026-01-28,2.37,2.14,3.52,loss,-15.6,B,3,60,79,100,48.9,-36.7,False,stopped,0.0,0.0,sweep_confirmed,filled,loss,2.32,-12.9,2-5,0
2026,BBNX,2026-03-19,10.21,9.22,11.96,loss,-9.7,B,3,80,14,75,30.8,-13.8,False,stopped,2.8,2.0,sweep_confirmed,rr_too_low,rr_too_low,10.63,,5-15,0
2026,BIRD,2026-01-06,3.98,3.59,5.69,loss,-9.7,B,3,70,25,75,11.7,-34.6,False,stopped,11.7,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2026,BJDX,2026-03-12,1.75,1.58,2.67,open,-1.7,B,3,60,66,80,21.7,-5.8,False,survived,21.7,6.0,sweep_confirmed,no_sweep,no_sweep,,,<2,0
2026,BMBL,2026-02-26,2.69,2.43,3.41,no_fill,,B,3,60,13,70,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2026,BTAI,2026-02-19,1.4,1.26,1.84,loss,-9.7,B,3,55,60,95,6.4,-27.9,False,stopped,6.4,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,<2,0
2026,BTCS,2026-03-05,1.5,1.36,2.13,loss,-9.7,B,3,70,54,100,44.3,-16.9,False,stopped,0.0,0.0,sweep_confirmed,filled,win,1.51,41.1,<2,0
2026,BTOG,2026-02-26,2.45,2.21,3.05,loss,-9.7,B,3,90,67,95,118.4,-28.6,True,stopped,0.0,0.0,sweep_confirmed,filled,win,2.48,23.0,2-5,1
2026,BULL,2026-03-05,5.63,5.09,6.3,loss,-9.7,B,3,50,43,55,33.5,-20.1,False,stopped,0.7,2.0,sweep_confirmed,rr_too_low,rr_too_low,5.82,,5-15,0
2026,CLOV,2026-02-26,2.0,1.8,2.41,loss,-9.8,B,3,55,18,90,27.5,-21.0,False,stopped,11.5,2.0,sweep_confirmed,filled,win,2.03,18.7,2-5,0
2026,CLPT,2026-04-02,8.86,8.0,10.91,win,23.1,B,3,50,51,85,53.4,-6.7,True,survived,53.4,25.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2026,CRBP,2026-01-06,7.86,7.1,8.73,win,11.1,B,3,55,6,85,21.8,-8.4,False,survived,21.8,10.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2026,CRGO,2026-01-13,2.14,1.93,2.5,win,16.8,B,3,50,25,50,35.5,-45.3,False,stopped,35.5,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2026,CRGO,2026-04-10,1.21,1.09,1.8,no_fill,,B,3,55,25,90,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,<2,0
2026,CRIS,2026-02-04,15.86,14.32,20.8,loss,-9.7,B,3,55,30,80,4.7,-36.9,False,stopped,3.4,2.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
